UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40007610001,Congrats Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
87862300654,,10,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007612001,Wishbone Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
87862300256,,10,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007614001,Guardian Angel Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
87862300666,,10,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40000004354,Mumu Lava Lava Graphic,72.99,1,Yes,Apparel,Top,,,
40000004354,Mumu Lava Lava Graphic,72.99,1,Yes,Apparel,Top,,,
40000004354,Mumu Lava Lava Graphic,72.99,1,Yes,Apparel,Top,,,
40007605001,Friendship Necklace,17,1,Yes,Accessory ,Jewelry,,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40006200001,SS T-Shirt - Various,34,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40006200001,SS T-Shirt - Various,34,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity
40007439001,Flask,24,1,Yes,Giftware,,,,Fred&Friends
40007118001,Beer Bands,10,1,Yes,Giftware,,,,Fred&Friends
40007118001,Beer Bands,10,1,Yes,Giftware,,,,Fred&Friends
40007118001,Beer Bands,10,1,Yes,Giftware,,,,Fred&Friends
40006525001,Hopside Down Glass,20,1,Yes,Giftware,,,,Fred&Friends
40007132001,Googley Eye Clip,3,1,Yes,Giftware,,,,Fred&Friends
40006702001,Blue Vase-Large,34,1,Yes,Dicor,,,,
40006510001,Like a Boss Mug,20,1,Yes,Giftware,Mug,,,
40006654001,Recycled Record Coasters,22,1,Yes,Giftware,,,,Fred&Friends
40006654001,Recycled Record Coasters,22,1,Yes,Giftware,,,,Fred&Friends
40006565001,Pocket Knife,20,1,Yes,Giftware,,,,Fred&Friends
40006565001,Pocket Knife,20,1,Yes,Giftware,,,,Fred&Friends
40006529001,BeerBites,18,1,Yes,Giftware,,,,Fred&Friends
81031402099,,8,1,Yes,Giftware,,,,Fred&Friends
40006558001,Pick-Up Line Coasters,14,1,Yes,Giftware,,,,Fred&Friends
40006558001,Pick-Up Line Coasters,14,1,Yes,Giftware,,,,Fred&Friends
40006558001,Pick-Up Line Coasters,14,1,Yes,Giftware,,,,Fred&Friends
40006727001,Pocket Monkey,18,1,Yes,Giftware,,,,Fred&Friends
40006727001,Pocket Monkey,18,1,Yes,Giftware,,,,Fred&Friends
40006727001,Pocket Monkey,18,1,Yes,Giftware,,,,Fred&Friends
40006727001,Pocket Monkey,18,1,Yes,Giftware,,,,Fred&Friends
40006727001,Pocket Monkey,18,1,Yes,Giftware,,,,Fred&Friends
40006564001,Get It Together Comb,27,1,Yes,Giftware,,,,Fred&Friends
40006564001,Get It Together Comb,27,1,Yes,Giftware,,,,Fred&Friends
40006564001,Get It Together Comb,27,1,Yes,Giftware,,,,Fred&Friends
81031402079,,8,1,Yes,Giftware,,,,Fred&Friends
40007424001,Flask 6oz.,22,1,Yes,Giftware,,,,Fred&Friends
40006638001,8 oz. Flask Team,24,1,Yes,Giftware,,,,Fred&Friends
40007424001,Flask 6oz.,22,1,Yes,Giftware,,,,Fred&Friends
40007424001,Flask 6oz.,22,1,Yes,Giftware,,,,Fred&Friends
40007246001,Card Art,24,1,Yes,Giftware,,,,
40000004399,Tart Henrietta Dress,149.99,1,Yes,Apparel,Dress,,,Tart
40006668001,Stacked Geo Small Frame,26,1,Yes,Dicor,,,,
40006482001,Go to the Gym pillow,88,1,Yes,Dicor,,,,
40006621001,You+Me+We pillow,140,1,Yes,Dicor,,,,
40006850001,Twiggy Black,179,1,Yes,Apparel,,,,
40006850001,Twiggy Black,179,1,Yes,Apparel,,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006840001,Margeaux Pink,98,1,Yes,Apparel,,,,
40006845001,Classic Fox Pink,179,1,Yes,Apparel,,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006849001,Classic Fox Honey,179,1,Yes,Apparel,,,,
40006848001,LaFemme Blue,179,1,Yes,Apparel,,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40006941001,Various Sunglasses,42,1,Yes,Accessory ,Sunglasses,,,
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004539,PPLA Arrow Wash Tank,44.99,1,Yes,Apparel,Top,,,PPLA
40000004539,PPLA Arrow Wash Tank,44.99,1,Yes,Apparel,Top,,,PPLA
40000004539,PPLA Arrow Wash Tank,44.99,1,Yes,Apparel,Top,,,PPLA
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004081,PPLA Blue Becky Tee,65,1,Yes,Apparel,Top,,,PPLA
40000004081,PPLA Blue Becky Tee,65,1,Yes,Apparel,Top,,,PPLA
40000004079,PPLA Denim Tank,55,1,Yes,Apparel,Top,,,PPLA
40000004032,PPLA Grey Top,70,1,Yes,Apparel,Top,,,PPLA
40000004165,PPLA Top,54.99,1,Yes,Apparel,Top,,,PPLA
40000004165,PPLA Top,54.99,1,Yes,Apparel,Top,,,PPLA
40000004165,PPLA Top,54.99,1,Yes,Apparel,Top,,,PPLA
40000004165,PPLA Top,54.99,1,Yes,Apparel,Top,,,PPLA
40000003884,Royal Tee,55,1,Yes,Apparel,Top,,,
40000003884,Royal Tee,55,1,Yes,Apparel,Top,,,
40000004168,PPLA Top,42.99,1,Yes,Apparel,Top,,,PPLA
40000004168,PPLA Top,42.99,1,Yes,Apparel,Top,,,PPLA
40000004168,PPLA Top,42.99,1,Yes,Apparel,Top,,,PPLA
40000004168,PPLA Top,42.99,1,Yes,Apparel,Top,,,PPLA
40000004168,PPLA Top,42.99,1,Yes,Apparel,Top,,,PPLA
40000004075,Angeles Tee,62,1,Yes,Apparel,Top,,,
40000004075,Angeles Tee,62,1,Yes,Apparel,Top,,,
40000004075,Angeles Tee,62,1,Yes,Apparel,Top,,,
40000004313,J Brand,248,1,Yes,Apparel,Bottom,Pants,Denim,J Brand
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,,,Local Celebrity
