Item,Descrption,Cost,UPC1
       1467Z,,$13.00 ,40000002053
14712,,$8.75 ,40000002840
14769,,$12.50 ,40000002937
14815,,$8.00 ,40005376001
15037,,$28.50 ,40000001798
15149,,$17.50 ,40000002920
15183,,$14.25 ,40000002629
15233,Gigis Handbag,$15.00 ,40000004273
15273,,$26.00 ,40000002988
15301,,$39.75 ,40000003262
15364,,$16.25 ,40000003071
15397,,$18.50 ,40000002826
15468,,$10.50 ,40000002578
15550,,$18.25 ,40000002823
15746,,$15.00 ,40000003069
15770,,$18.50 ,40000002936
15884,,$19.25 ,40000003062
       158HT,,$11.75 ,40000002744
15915,,$16.75 ,40000003072
15929,,$17.00 ,40000003275
16068,,$36.75 ,40000002881
16103,,$21.00 ,40000003293
       16B10,Honey and the Moon Handcreme,$10.00 ,40007569001
       16B11,Let Them Eat Cake Handcreme,$10.00 ,40007570001
       16B12,Gin and Rose Water Handcreme,$10.00 ,40007571001
       16B13,Song in D Minor Handcreme,$10.00 ,40007572001
       16B15,French Kiss Handcreme,$10.00 ,40007544001
       16C10,Honey and the Moon Parfum,$15.00 ,40007556001
       16C11,Let Them Eat Cake Parfum,$15.00 ,40007555001
       16C12,Gin and Rose Water Parfum,$15.00 ,40007554001
       16C13,Song in D Minor Parfum,$15.00 ,40007553001
       16C15,French Kiss Parfum,$15.00 ,40007539001
       16C17,Paper and Cotton Parfum,$15.00 ,40007540001
       16C52,Sugar Parfum,$15.00 ,40007552001
       16TB2,TESTER Le Petit Handcreme,$5.00 ,40007543001
       16TB3,TESTER Eden Handcreme,$5.00 ,40007580001
       16TB6,TESTER Dead Sexy Handcreme,$5.00 ,40007581001
       16TB9,TESTER Kabuki Handcreme,$5.00 ,40007582001
       16TC2,TESTER Le Petit,$5.00 ,40007564001
       16TC3,TESTER Eden,$5.00 ,40007565001
       16TC6,TESTER Dead Sexy,$5.00 ,40007567001
       16TC9,TESTER Kobuki,$5.00 ,40007568001
17109,,$29.75 ,40000002027
17204,Gigis Handbag,$22.00 ,40000004284
17438,,$14.75 ,40000002056
17494,,$12.25 ,40000002153
17535,,$11.75 ,40000002447
17701,,$17.00 ,40005856001
17711,,$17.00 ,40005855001
18221,,$15.00 ,40000000980
18337,,$19.25 ,40000002844
18800,,$4.25 ,40000000833
       1E842,,$5.90 ,40000002777
       1E852,,$4.90 ,40000002778
       1E950,,$5.90 ,40000002779
       1E951,,$5.90 ,40000003207
20003,Aquiessa Tin Candels,$2.50 ,40000004603
20021,,$17.00 ,40000002850
20023,,$25.25 ,40000001884
20024,,$25.25 ,40000001886
20105,,$9.75 ,40000000909
       2013S,Dainty Love Silver,$19.00 ,40008031001
       2015G,Dainty Strength Gold,$19.00 ,40008034001
20242,,$25.20 ,
       2028G,Giving Keys Dainty Gold,$30.50 ,40000003785
       2028S,Giving Keys Dainty Silver,$30.50 ,40000003786
20507,,$25.50 ,40000002872
20818,,$16.25 ,40000000546
21130,,$9.50 ,40000001006
21202,,$20.25 ,40000001885
21228,,$12.00 ,40000001283
21379,,$17.75 ,40000002722
21636,,$16.00 ,40000001282
       2207G,Dainty XL Gold,$24.00 ,40008023001
       2207S,Dainty XL Silver,$24.00 ,40008024001
       2211G,Dainty XL Silver,$24.00 ,40008026001
       2211S,Dainty XL Silver,$24.00 ,40008027001
22201,,$9.50 ,40005883001
22203,,$9.50 ,40005893001
22234,Head Massager,$1.75 ,40007532001
22454,,$24.00 ,40000001276
22818,,$14.40 ,40000002236
22820,,$16.00 ,40000003290
22838,,$34.00 ,40000003291
22840,,$36.00 ,40000003292
22848,,$40.00 ,40004103001
23034,,$14.50 ,40000001286
23044,,$14.50 ,40000001287
23120,,$12.00 ,40000001750
23232,,$19.20 ,40000001752
23240,,$24.00 ,40000001751
23400,,$2.00 ,40000000116
23526,,$25.50 ,40000002870
       2403G,Dainty Infinity Gold,$20.00 ,40008018001
       2403S,Dainty Infinity Silver,$20.00 ,40008019001
       2462B,,$12.75 ,40000002456
       2501G,Dainty Lock Gold,$28.00 ,40008016001
25029,,$14.55 ,40000000507
       2511S,Dainty Lock Silver,$28.00 ,40008025001
       2513G,Dainty Lock Gold,$28.00 ,40008029001
       2513S,Dainty Lock Silver,$28.00 ,40008030001
       2515G,Dainty Locl Gold,$28.00 ,40008033001
25201,,$10.50 ,40000000211
25611,,$25.50 ,40000002871
26112,Mini Candle,$4.00 ,40007649001
26117,Decorative Tin,$4.00 ,40007647001
26916,,$22.50 ,40005474001
27107,,$10.50 ,40006039001
       2805S,Giving Keys Lariat Lock Silver,$34.00 ,40000003787
       2810G,Giving Keys Lariat Lock Gold,$34.00 ,40000003789
       2811G,Giving Keys Lariat Lock Gold,$34.00 ,40000003790
29532,,$17.00 ,40005844001
       2N894,Long Tassel,$12.00 ,40000004105
       2N903,,$16.00 ,40000003129
       2N944,,$9.90 ,40000002781
       2N945,,$14.90 ,40000002782
30000,,$6.25 ,40000003494
       303HT,,$15.00 ,40000002827
       303MG,It's too Early Mug,$9.00 ,40008036001
       308MG,Great Job Mug,$9.00 ,40008037001
30900,,$2.75 ,40000000053
       309MG,Grown-Ass Lady Mug,$9.00 ,40008038001
31104,,$23.17 ,40000000384
31111,,-,40000000383
31116,,-,40000000385
       315MG,Today New Day Mug,$9.00 ,40008039001
       316MG,Dream Big Mug,$9.00 ,40008040001
31801,,$17.00 ,40005843001
31818,,$14.75 ,40000000545
       318MG,Like a Boss Mug,$9.00 ,40008041001
       322MP,,$11.50 ,40000002745
33000,,$3.75 ,40000000697
33072,,$14.50 ,40000002913
33500,,$4.50 ,40000000645
34000,Test Mass Change,$5.00 ,40000003679
34001,,$23.00 ,40000000991
34600,,$4.25 ,40000000888
34900,,$3.25 ,40000000889
35000,Freaker Socks,$9.00 ,40000003688
35001,,$9.00 ,40000003691
       3511N,,$16.20 ,40000002959
35428,,$12.37 ,40005698001
35501,,$19.00 ,40006058001
